,['n. \xe5\x88\x86\xe8\xa7\xa3\xef\xbc\x9b\xe7\xbb\x86\xe7\x9b\xae\xe5\x88\x86\xe7\xb1\xbb']
versatile,['adj. \xe5\xa4\x9a\xe6\x89\x8d\xe5\xa4\x9a\xe8\x89\xba\xe7\x9a\x84']
systematic,['adj. \xe7\xb3\xbb\xe7\xbb\x9f\xe7\x9a\x84\xef\xbc\x8c\xe4\xbd\x93\xe7\xb3\xbb\xe7\x9a\x84']
magnetic,['n. \xe7\xa3\x81\xe9\x93\x81']
comparatively,['adv. \xe7\x9b\xb8\xe5\xbd\x93\xe5\x9c\xb0\xef\xbc\x9b\xe6\xaf\x94\xe8\xbe\x83\xe5\x9c\xb0']
desirable,['adj. \xe4\xbb\xa4\xe4\xba\xba\xe5\x90\x91\xe5\xbe\x80\xe7\x9a\x84\xef\xbc\x9b\xe4\xbb\xa4\xe4\xba\xba\xe6\xbb\xa1\xe6\x84\x8f\xe7\x9a\x84']
foul,['adj. \xe6\xb1\xa1\xe7\xa7\xbd\xe7\x9a\x84\xef\xbc\x8c\xe8\x82\xae\xe8\x84\x8f\xe7\x9a\x84']
narcotic,['adj. \xe9\xba\xbb\xe9\x86\x89\xe7\x9a\x84\xef\xbc\x8c\xe5\x82\xac\xe7\x9c\xa0\xe7\x9a\x84\xef\xbc\x9bn. \xe9\xba\xbb\xe9\x86\x89\xe5\x89\x82']
obstruction,['n. \xe9\x98\xbb\xe5\xa1\x9e\xef\xbc\x8c\xe5\xa6\xa8\xe7\xa2\x8d\xef\xbc\x9b\xe9\x9a\x9c\xe7\xa2\x8d\xe7\x89\xa9']
protest,['n./v. \xe6\x8a\x97\xe8\xae\xae']
tensile,"['adj. \xe5\x8f\xaf\xe6\x8b\x89\xe9\x95\xbf\xe7\x9a\x84, \xe5\x8f\xaf\xe4\xbc\xb8\xe9\x95\xbf\xe7\x9a\x84']"
coach,['n. \xe6\x95\x99\xe7\xbb\x83']
controversial,['adj. \xe5\xbc\x95\xe8\xb5\xb7\xe6\x88\x96\xe5\x8f\xaf\xe8\x83\xbd\xe5\xbc\x95\xe8\xb5\xb7\xe4\xba\x89\xe8\xae\xba\xe7\x9a\x84']
mirage,['n. \xe6\xb5\xb7\xe5\xb8\x82\xe8\x9c\x83\xe6\xa5\xbc\xef\xbc\x9b\xe5\xb9\xbb\xe6\x83\xb3']
